# This is a temporary file created by TEG version 2.0 
# It contains the computed cross section for given neutrino energy 

# Neutrino energy (GeV)    Cross section (fb)    Uncertainty (fb) 
0.100000    0.000000e+00    0.000000e+00
0.115140    5.995545e-12    3.837385e-15
0.132571    2.108115e-09    1.192141e-12
0.152642    3.190522e-08    1.630024e-11
0.175751    1.847965e-07    8.706794e-11
0.202359    6.766759e-07    2.968666e-10
0.232995    1.896600e-06    7.801813e-10
0.268270    4.477344e-06    1.740520e-09
0.308884    9.379584e-06    3.468348e-09
0.355648    1.795507e-05    6.361458e-09
0.409492    3.209744e-05    1.095868e-08
0.471487    5.442228e-05    1.800213e-08
0.542868    8.833483e-05    2.849128e-08
0.625055    1.381922e-04    4.365793e-08
0.719686    2.098784e-04    6.524687e-08
0.828643    3.105925e-04    9.541559e-08
0.954095    4.498209e-04    1.370745e-07
1.098541    6.385324e-04    1.938412e-07
1.264855    8.910190e-04    2.703243e-07
1.456348    1.224844e-03    3.725184e-07
1.676833    1.661757e-03    5.080438e-07
1.930698    2.227267e-03    6.860885e-07
2.222996    2.951454e-03    9.184922e-07
2.559548    3.875417e-03    1.221187e-06
2.947052    5.044246e-03    1.612294e-06
3.393222    6.505001e-03    2.111483e-06
3.906940    8.341237e-03    2.756367e-06
4.498433    1.060949e-02    3.572966e-06
5.179475    1.341154e-02    4.607025e-06
5.963623    1.685629e-02    5.906203e-06
6.866488    2.107627e-02    7.546139e-06
7.906043    2.625549e-02    9.615990e-06
9.102982    3.250212e-02    1.217404e-05
10.481131    4.006099e-02    1.535245e-05
12.067926    4.924636e-02    1.932447e-05
13.894955    6.036295e-02    2.424355e-05
15.998587    7.363458e-02    3.032265e-05
18.420700    8.959461e-02    3.776755e-05
21.209509    1.087488e-01    4.697354e-05
24.420531    1.315948e-01    5.824619e-05
28.117687    1.587011e-01    7.203177e-05
32.374575    1.912522e-01    8.889253e-05
37.275937    2.298967e-01    1.092976e-04
42.919343    2.753869e-01    1.340096e-04
49.417134    3.299837e-01    1.644574e-04
56.898660    3.943576e-01    2.010402e-04
65.512856    4.705293e-01    2.454930e-04
75.431201    5.610477e-01    2.993356e-04
86.851137    6.668252e-01    3.636075e-04
100.000000    7.932435e-01    4.416714e-04
